orgnavn,enhedsnummer_deltager,enhedsnummer_virksomhed,vaerdinavn,vaerdi,gyldigfra,gyldigtil,enhedstype_deltager,cvrnummer_deltager,cvrnummer_virksomhed
EJERREGISTER,3731969,4445829,EJERANDEL_STEMMERET_PROCENT,0.5,2014-12-18,2200-01-01,VIRKSOMHED,17693786,71172112
EJERREGISTER,3731969,4445829,EJERANDEL_MEDDELELSE_DATO,2014-12-18,2014-12-18,2200-01-01,VIRKSOMHED,17693786,71172112
EJERREGISTER,3731969,4445829,EJERANDEL_PROCENT,0.5,2014-12-18,2200-01-01,VIRKSOMHED,17693786,71172112
EJERREGISTER,5427309,4445829,EJERANDEL_PROCENT,0.05,2014-12-18,2200-01-01,VIRKSOMHED,33881606,71172112
EJERREGISTER,5427309,4445829,EJERANDEL_STEMMERET_PROCENT,0.05,2014-12-18,2200-01-01,VIRKSOMHED,33881606,71172112
EJERREGISTER,5427309,4445829,EJERANDEL_MEDDELELSE_DATO,2014-12-18,2014-12-18,2200-01-01,VIRKSOMHED,33881606,71172112
EJERREGISTER,4001883567,4445829,EJERANDEL_PROCENT,0.25,2014-12-18,2200-01-01,VIRKSOMHED,34074178,71172112
EJERREGISTER,4001883567,4445829,EJERANDEL_STEMMERET_PROCENT,0.25,2014-12-18,2200-01-01,VIRKSOMHED,34074178,71172112
EJERREGISTER,4001883567,4445829,EJERANDEL_MEDDELELSE_DATO,2014-12-18,2014-12-18,2200-01-01,VIRKSOMHED,34074178,71172112
EJERREGISTER,4006132848,5777784,EJERANDEL_STEMMERET_PROCENT,1.0,2008-07-09,2200-01-01,ANDEN_DELTAGER,-1,30507029
EJERREGISTER,4006132848,5777784,EJERANDEL_PROCENT,1.0,2008-07-09,2200-01-01,ANDEN_DELTAGER,-1,30507029
EJERREGISTER,4006132848,5777784,EJERANDEL_MEDDELELSE_DATO,2008-07-09,2008-07-09,2200-01-01,ANDEN_DELTAGER,-1,30507029
EJERREGISTER,5945033,4000332722,EJERANDEL_MEDDELELSE_DATO,2013-06-20,2013-06-20,2200-01-01,VIRKSOMHED,34455902,20283416
EJERREGISTER,5945033,4000332722,EJERANDEL_PROCENT,1.0,2013-06-20,2200-01-01,VIRKSOMHED,34455902,20283416
EJERREGISTER,5945033,4000332722,EJERANDEL_STEMMERET_PROCENT,1.0,2013-06-20,2200-01-01,VIRKSOMHED,34455902,20283416
EJERREGISTER,3127369,4000333229,EJERANDEL_MEDDELELSE_DATO,2000-04-19,2000-04-19,2200-01-01,VIRKSOMHED,25382269,28672012
EJERREGISTER,3127369,4000333229,EJERANDEL_PROCENT,1.0,2000-04-19,2200-01-01,VIRKSOMHED,25382269,28672012
EJERREGISTER,3127369,4000333229,EJERANDEL_STEMMERET_PROCENT,1.0,2000-04-19,2200-01-01,VIRKSOMHED,25382269,28672012
EJERREGISTER,4000423630,4000807533,EJERANDEL_STEMMERET_PROCENT,0.25,2004-05-13,2200-01-01,VIRKSOMHED,10125774,10551307
EJERREGISTER,4000423630,4000807533,EJERANDEL_PROCENT,0.25,2004-05-13,2200-01-01,VIRKSOMHED,10125774,10551307
EJERREGISTER,4000423630,4000807533,EJERANDEL_MEDDELELSE_DATO,2004-05-13,2004-05-13,2200-01-01,VIRKSOMHED,10125774,10551307
EJERREGISTER,4000801093,4000807533,EJERANDEL_STEMMERET_PROCENT,0.5,2004-05-13,2200-01-01,VIRKSOMHED,10046181,10551307
EJERREGISTER,4000801093,4000807533,EJERANDEL_PROCENT,0.5,2004-05-13,2200-01-01,VIRKSOMHED,10046181,10551307
EJERREGISTER,4000801093,4000807533,EJERANDEL_MEDDELELSE_DATO,2004-05-13,2004-05-13,2200-01-01,VIRKSOMHED,10046181,10551307
EJERREGISTER,4000873711,4000807533,EJERANDEL_STEMMERET_PROCENT,0.15,2004-05-13,2200-01-01,VIRKSOMHED,14227679,10551307
EJERREGISTER,4000873711,4000807533,EJERANDEL_PROCENT,0.15,2004-05-13,2200-01-01,VIRKSOMHED,14227679,10551307
EJERREGISTER,4000873711,4000807533,EJERANDEL_MEDDELELSE_DATO,2004-05-13,2004-05-13,2200-01-01,VIRKSOMHED,14227679,10551307
EJERREGISTER,4003918619,4000881318,EJERANDEL_MEDDELELSE_DATO,2015-01-12,2015-01-12,2017-10-24,PERSON,-1,14352384
EJERREGISTER,4003918619,4000881318,EJERANDEL_STEMMERET_PROCENT,0.5,2015-01-12,2017-10-25,PERSON,-1,14352384
EJERREGISTER,4003918619,4000881318,EJERANDEL_MEDDELELSE_DATO,2017-10-25,2017-10-25,2017-10-25,PERSON,-1,14352384
EJERREGISTER,4003918619,4000881318,EJERANDEL_PROCENT,0.5,2015-01-12,2017-10-25,PERSON,-1,14352384
EJERREGISTER,4004098409,4000881318,EJERANDEL_STEMMERET_PROCENT,0.5,2015-01-12,2017-10-25,PERSON,-1,14352384
EJERREGISTER,4004098409,4000881318,EJERANDEL_MEDDELELSE_DATO,2015-01-12,2015-01-12,2017-10-24,PERSON,-1,14352384
EJERREGISTER,4004098409,4000881318,EJERANDEL_MEDDELELSE_DATO,2017-10-25,2017-10-25,2017-10-25,PERSON,-1,14352384
EJERREGISTER,4004098409,4000881318,EJERANDEL_PROCENT,0.5,2015-01-12,2017-10-25,PERSON,-1,14352384
EJERREGISTER,4001742879,4000881318,EJERANDEL_MEDDELELSE_DATO,2018-10-17,2018-10-17,2018-10-17,VIRKSOMHED,31948398,14352384
EJERREGISTER,4001742879,4000881318,EJERANDEL_PROCENT,0.5,2017-10-25,2018-10-17,VIRKSOMHED,31948398,14352384
EJERREGISTER,4001742879,4000881318,EJERANDEL_STEMMERET_PROCENT,0.5,2017-10-25,2018-10-17,VIRKSOMHED,31948398,14352384
EJERREGISTER,4001742879,4000881318,EJERANDEL_MEDDELELSE_DATO,2017-10-25,2017-10-25,2018-10-16,VIRKSOMHED,31948398,14352384
EJERREGISTER,4007217876,4000881318,EJERANDEL_MEDDELELSE_DATO,2018-10-17,2018-10-17,2200-01-01,VIRKSOMHED,39057476,14352384
EJERREGISTER,4007217876,4000881318,EJERANDEL_PROCENT,0.5,2017-10-25,2018-10-16,VIRKSOMHED,39057476,14352384
EJERREGISTER,4007217876,4000881318,EJERANDEL_PROCENT,1.0,2018-10-17,2200-01-01,VIRKSOMHED,39057476,14352384
EJERREGISTER,4007217876,4000881318,EJERANDEL_STEMMERET_PROCENT,0.5,2017-10-25,2018-10-16,VIRKSOMHED,39057476,14352384
EJERREGISTER,4007217876,4000881318,EJERANDEL_STEMMERET_PROCENT,1.0,2018-10-17,2200-01-01,VIRKSOMHED,39057476,14352384
EJERREGISTER,4007217876,4000881318,EJERANDEL_MEDDELELSE_DATO,2017-10-25,2017-10-25,2018-10-16,VIRKSOMHED,39057476,14352384
EJERREGISTER,4004181683,4000964272,EJERANDEL_STEMMERET_PROCENT,0.05,2012-11-01,2015-11-04,PERSON,-1,17956876
EJERREGISTER,4004181683,4000964272,EJERANDEL_MEDDELELSE_DATO,2012-11-01,2012-11-01,2015-11-04,PERSON,-1,17956876
EJERREGISTER,4004181683,4000964272,EJERANDEL_PROCENT,0.05,2012-11-01,2015-11-04,PERSON,-1,17956876
EJERREGISTER,4000952303,4000964272,EJERANDEL_PROCENT,0.6667,2012-11-01,2018-01-30,VIRKSOMHED,17976478,17956876
EJERREGISTER,4000952303,4000964272,EJERANDEL_PROCENT,1.0,2018-01-31,2018-01-31,VIRKSOMHED,17976478,17956876
EJERREGISTER,4000952303,4000964272,EJERANDEL_STEMMERET_PROCENT,0.6667,2012-11-01,2018-01-30,VIRKSOMHED,17976478,17956876
EJERREGISTER,4000952303,4000964272,EJERANDEL_STEMMERET_PROCENT,1.0,2018-01-31,2018-01-31,VIRKSOMHED,17976478,17956876
EJERREGISTER,4000952303,4000964272,EJERANDEL_MEDDELELSE_DATO,2012-11-01,2012-11-01,2018-01-30,VIRKSOMHED,17976478,17956876
EJERREGISTER,4000952303,4000964272,EJERANDEL_MEDDELELSE_DATO,2018-01-31,2018-01-31,2018-01-31,VIRKSOMHED,17976478,17956876
EJERREGISTER,4002029968,4000964272,EJERANDEL_PROCENT,1.0,2018-01-31,2018-06-01,VIRKSOMHED,35839224,17956876
EJERREGISTER,4002029968,4000964272,EJERANDEL_MEDDELELSE_DATO,2018-01-31,2018-01-31,2018-06-01,VIRKSOMHED,35839224,17956876
EJERREGISTER,4002029968,4000964272,EJERANDEL_STEMMERET_PROCENT,1.0,2018-01-31,2018-06-01,VIRKSOMHED,35839224,17956876
EJERREGISTER,4006264155,4000964272,EJERANDEL_STEMMERET_PROCENT,0.1,2015-11-05,2018-01-31,VIRKSOMHED,37067881,17956876
EJERREGISTER,4006264155,4000964272,EJERANDEL_MEDDELELSE_DATO,2015-11-05,2015-11-05,2018-01-30,VIRKSOMHED,37067881,17956876
EJERREGISTER,4006264155,4000964272,EJERANDEL_MEDDELELSE_DATO,2018-01-31,2018-01-31,2018-01-31,VIRKSOMHED,37067881,17956876
EJERREGISTER,4006264155,4000964272,EJERANDEL_PROCENT,0.1,2015-11-05,2018-01-31,VIRKSOMHED,37067881,17956876
EJERREGISTER,4006009137,4001148752,EJERANDEL_PROCENT,1.0,2013-10-22,2200-01-01,ANDEN_DELTAGER,-1,56098828
EJERREGISTER,4006009137,4001148752,EJERANDEL_MEDDELELSE_DATO,2013-10-22,2013-10-22,2200-01-01,ANDEN_DELTAGER,-1,56098828
EJERREGISTER,4006009137,4001148752,EJERANDEL_STEMMERET_PROCENT,1.0,2013-10-22,2200-01-01,ANDEN_DELTAGER,-1,56098828
EJERREGISTER,4000387292,4001489233,EJERANDEL_PROCENT,1.0,2004-12-16,2200-01-01,PERSON,-1,28278799
EJERREGISTER,4000387292,4001489233,EJERANDEL_STEMMERET_PROCENT,1.0,2004-12-16,2200-01-01,PERSON,-1,28278799
EJERREGISTER,4000387292,4001489233,EJERANDEL_MEDDELELSE_DATO,2004-12-16,2004-12-16,2200-01-01,PERSON,-1,28278799
